states,"Population estimates, July 1, 2019,  (V2019)",Persons under 18 years (%),Persons 65 years and over (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Hispanic or Latino (%),"White, not Hispanic or Latino (%)",Foreign born persons (%),Housing units,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Households,Persons per household,Households with a computer (%),Households with Internet (%),High school graduate or higher (%),Bachelor's degree or higher (%),Persons without health insurance (%),In civilian labor force (%),"Total health care revenue, 2012 ($1,000)",Median household income (in 2018 dollars),Per capita income in past 12 months (in 2018 dollars),Persons in poverty (%),"Total annual payroll, 2017 ($1,000)",Real GDP in billion USD (2012),State Tax Rate,Vaccination Rate,Obesity Rate,Number of Smoking Adults,Party Affiliation,Number of Nursing Homes,Diabetes Rate 2018,Diabetes Death 2018,New Cancer Rate ,Cancer Case Count,Hospital_bed_per_1000,Cumulative COVID cases (current),SoDA Score
Nevada,3080156,0.227,0.157,0.743,0.101,0.017,0.087,0.29,0.487,0.194,1268633,0.558,242400,1060,1075930,2.68,0.912,0.813,0.863,0.242,0.13,0.634,13928514,57598,29961,0.129,50960493,155.53,0.05,0.804,0.267,0.176,1,62,19.2,674,385,13054,2.1,3728,37.67407407
New Hampshire,1359711,0.19,0.181,0.932,0.017,0.003,0.03,0.039,0.9,0.06,638091,0.71,252800,1077,528078,2.46,0.922,0.862,0.929,0.365,0.069,0.677,9616460,74057,38548,0.076,30634092,78.44,0,0.878,0.281,0.157,1,74,17.3,319,480.9,8442,2.1,1390,23.97037037
New Jersey,8882190,0.219,0.161,0.72,0.15,0.006,0.1,0.206,0.549,0.222,3628302,0.639,327900,1295,3213362,2.71,0.901,0.841,0.895,0.389,0.087,0.655,60375232,79363,40895,0.095,220310440,566.56,0.06625,0.794,0.273,0.137,1,364,16.6,1880,474.8,51521,2.4,85301,34.15555556
New Mexico,2096829,0.23,0.175,0.82,0.026,0.109,0.018,0.491,0.371,0.096,943208,0.676,166800,828,775651,2.64,0.838,0.723,0.853,0.271,0.114,0.574,11236630,48059,26085,0.195,25723101,98,0.05125,0.857,0.284,0.175,1,74,26.1,685,359.4,9075,1.8,1845,20.3037037
New York,19453561,0.208,0.164,0.697,0.176,0.01,0.09,0.192,0.554,0.226,8363934,0.539,302200,1240,7316537,2.6,0.882,0.809,0.865,0.359,0.063,0.63,155666053,65323,37470,0.136,547344236,1467.85,0.04,0.817,0.257,0.141,1,619,18.2,4519,474.8,113026,2.7,247815,40.53333333
North Carolina,10488084,0.222,0.163,0.706,0.222,0.016,0.032,0.096,0.628,0.079,4684876,0.65,165900,877,3918597,2.52,0.874,0.783,0.874,0.305,0.127,0.613,55227505,52413,29456,0.14,175695531,512.58,0.055,0.853,0.321,0.172,0,429,23.9,3013,458.4,55394,2.1,6601,19.45185185
North Dakota,762062,0.235,0.153,0.87,0.034,0.055,0.018,0.039,0.84,0.039,377649,0.627,185000,806,314903,2.31,0.885,0.79,0.925,0.295,0.084,0.692,5418355,63473,35373,0.107,16337205,54.28,0.0685,0.861,0.332,0.183,0,80,24.1,214,448.7,3765,4.3,585,19.46666667
Ohio,11689100,0.222,0.171,0.819,0.13,0.003,0.025,0.039,0.787,0.045,5217423,0.66,140000,788,4654075,2.43,0.874,0.797,0.901,0.278,0.077,0.631,80915693,54533,30304,0.139,224627609,619.21,0.0575,0.805,0.338,0.211,0,963,25.4,3845,456.1,65645,2.8,11602,12.98518519
Oklahoma,3956971,0.243,0.157,0.742,0.078,0.093,0.023,0.109,0.653,0.06,1743069,0.656,130900,793,1474620,2.58,0.867,0.758,0.878,0.252,0.167,0.607,22795438,51424,27432,0.156,59669532,202.34,0.045,0.776,0.365,0.201,0,298,29,1340,447.9,20167,2.8,2567,13.38518519
Oregon,4217737,0.208,0.176,0.868,0.022,0.018,0.048,0.133,0.753,0.099,1788681,0.619,287300,1050,1591835,2.51,0.918,0.839,0.904,0.329,0.084,0.621,24956816,59393,32045,0.126,79111280,224.17,0,0.78,0.294,0.161,1,133,22.9,1224,405.3,20596,1.6,1910,22.25185185
Pennsylvania,12801989,0.207,0.182,0.818,0.12,0.004,0.037,0.076,0.761,0.068,5713150,0.69,174100,915,5025132,2.46,0.865,0.792,0.902,0.308,0.067,0.626,96329248,59445,32889,0.122,270592656,733.61,0.06,0.825,0.316,0.187,0,696,20.2,3603,482.5,80089,2.9,32902,29.80740741
Rhode Island,1059361,0.194,0.172,0.839,0.084,0.011,0.036,0.159,0.72,0.136,469157,0.603,249800,981,410885,2.47,0.876,0.818,0.88,0.333,0.048,0.644,8223005,63296,34619,0.129,20945444,55.43,0.07,0.875,0.3,0.149,1,81,17.2,249,450.6,5972,2.1,4706,22.99259259
South Carolina,5148714,0.218,0.177,0.685,0.271,0.005,0.018,0.058,0.637,0.049,2318271,0.689,154800,868,1894711,2.54,0.862,0.753,0.871,0.274,0.127,0.597,22941292,51015,27986,0.153,76707295,215.21,0.06,0.794,0.341,0.188,0,189,24.8,1580,440.9,27313,2.4,4377,19.9037037
